,PROV,YEAR,FSCHHLDM,count,total,percent
135,Quebec,2019,3.0,102,1738,5.9
136,Quebec,2020,0.0,1675,2185,76.7
137,Quebec,2020,1.0,172,2185,7.9
138,Quebec,2020,2.0,223,2185,10.2
139,Quebec,2020,3.0,115,2185,5.3
140,Quebec,2021,0.0,1409,1828,77.1
141,Quebec,2021,1.0,134,1828,7.3
142,Quebec,2021,2.0,185,1828,10.1
143,Quebec,2021,3.0,100,1828,5.5
144,Saskatchewan,2018,0.0,524,760,68.9
145,Saskatchewan,2018,1.0,59,760,7.8
146,Saskatchewan,2018,2.0,96,760,12.6
147,Saskatchewan,2018,3.0,81,760,10.7
148,Saskatchewan,2019,0.0,435,587,74.1
149,Saskatchewan,2019,1.0,38,587,6.5
150,Saskatchewan,2019,2.0,63,587,10.7
151,Saskatchewan,2019,3.0,51,587,8.7
152,Saskatchewan,2020,0.0,555,768,72.3
153,Saskatchewan,2020,1.0,51,768,6.6
154,Saskatchewan,2020,2.0,85,768,11.1
155,Saskatchewan,2020,3.0,77,768,10.0
156,Saskatchewan,2021,0.0,380,531,71.6
157,Saskatchewan,2021,1.0,23,531,4.3
158,Saskatchewan,2021,2.0,55,531,10.4
159,Saskatchewan,2021,3.0,73,531,13.7
